FirstSeen,Title,Artist,PeakRank,WeeksOnBoard,ArtistList
2019-05-18,All To Myself,Dan + Shay,31,20,Dan + Shay
2019-05-18,Beer Never Broke My Heart,Luke Combs,21,21,Luke Combs
2019-05-11,Knockin' Boots,Luke Bryan,31,22,Luke Bryan
2019-05-04,Love Someone,Brett Eldredge,52,10,Brett Eldredge
2019-05-04,ME!,Taylor Swift Featuring Brendon Urie,2,20,Brendon Urie;Taylor Swift
2019-04-27,Love Ain't,Eli Young Band,50,18,Eli Young Band
2019-04-13,God's Country,Blake Shelton,17,23,Blake Shelton
2019-04-06,Last Hurrah,Bebe Rexha,98,1,Bebe Rexha
2019-03-23,Rumor,Lee Brice,25,20,Lee Brice
2019-03-16,Look What God Gave Her,Thomas Rhett,32,20,Thomas Rhett
2019-03-16,Whiskey Glasses,Morgan Wallen,17,27,Morgan Wallen
2019-03-16,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,45,Lil Nas X;Billy Ray Cyrus
2019-03-09,Good As You,Kane Brown,36,20,Kane Brown
2019-03-02,Talk You Out Of It,Florida Georgia Line,57,26,Florida Georgia Line
2019-03-02,Eyes On You,Chase Rice,38,20,Chase Rice
2019-02-16,Miss Me More,Kelsea Ballerini,47,20,Kelsea Ballerini
2019-02-09,Night Shift,Jon Pardi,56,16,Jon Pardi
2019-02-02,GIRL,Maren Morris,44,21,Maren Morris
2019-01-12,Love Wins,Carrie Underwood,83,10,Carrie Underwood
2019-01-12,Down To The Honkytonk,Jake Owen,65,13,Jake Owen
2019-01-12,Make It Sweet,Old Dominion,56,20,Old Dominion
2019-01-12,What Makes You Country,Luke Bryan,54,11,Luke Bryan
2019-01-12,Take It From Me,Jordan Davis,46,13,Jordan Davis
2019-01-12,Here Tonight,Brett Young,42,20,Brett Young
2019-01-05,Blue Christmas,Elvis Presley,33,3,Elvis Presley
2018-12-22,This Is It,Scotty McCreery,42,20,Scotty McCreery
2018-12-22,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,26,10,Gene Autry
2018-12-15,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,43,13,Mark Ronson;Miley Cyrus
2018-12-15,Rudolph The Red-Nosed Reindeer,Gene Autry,16,12,Gene Autry
2018-12-01,Girl Like You,Jason Aldean,46,19,Jason Aldean
2018-11-24,Last Shot,Kip Moore,53,8,Kip Moore
2018-11-24,Millionaire,Chris Stapleton,47,17,Chris Stapleton
2018-11-24,Good Girl,Dustin Lynch,44,15,Dustin Lynch
2018-11-24,Sixteen,Thomas Rhett,42,15,Thomas Rhett
2018-11-03,Saturday Nights,Khalid & Kane Brown,57,12,Khalid;Kane Brown
2018-11-03,Burning Man,Dierks Bentley Featuring Brothers Osborne,45,17,Brothers Osborne;Dierks Bentley
2018-10-06,Rich,Maren Morris,62,8,Maren Morris
2018-09-29,Best Shot,Jimmie Allen,37,20,Jimmie Allen
2018-09-22,Speechless,Dan + Shay,24,40,Dan + Shay
2018-09-15,Hangin' On,Chris Young,63,13,Chris Young
2018-09-08,Drunk Girl,Chris Janson,79,10,Chris Janson
2018-09-01,Blue Tacoma,Russell Dickerson,52,19,Russell Dickerson
2018-08-25,She Got The Best Of Me ,Luke Combs,31,23,Luke Combs
2018-07-28,Desperate Man,Eric Church,68,15,Eric Church
2018-07-28,Hooked,Dylan Scott,48,11,Dylan Scott
2018-07-28,I'm A Mess,Bebe Rexha,35,20,Bebe Rexha
2018-07-14,Hotel Key,Old Dominion,48,19,Old Dominion
2018-07-14,"Sunrise, Sunburn, Sunset",Luke Bryan,35,16,Luke Bryan
2018-07-07,Coming Home,Keith Urban Featuring Julia Michaels,50,7,Julia Michaels;Keith Urban
2018-07-07,Life Changes,Thomas Rhett,36,14,Thomas Rhett
2018-06-30,Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,32,19,Jason Aldean;Miranda Lambert
2018-06-23,Lose It,Kane Brown,28,20,Kane Brown
2018-06-16,Must've Never Met You,Luke Combs,81,1,Luke Combs
2018-06-16,Simple,Florida Georgia Line,32,20,Florida Georgia Line
2018-06-09,I Was Jack (You Were Diane),Jake Owen,43,11,Jake Owen
2018-06-02,Downtown's Dead,Sam Hunt,94,2,Sam Hunt
2018-05-19,Mercy,Brett Young,29,20,Brett Young
2018-05-19,Beautiful Crazy,Luke Combs,21,31,Luke Combs
2018-05-05,Babe,Sugarland Featuring Taylor Swift,72,2,Sugarland;Taylor Swift
2018-05-05,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,66,13,David Lee Murphy;Kenny Chesney
2018-04-28,Cry Pretty,Carrie Underwood,48,12,Carrie Underwood
2018-04-21,Get Along,Kenny Chesney,22,21,Kenny Chesney
2018-04-14,"Woman, Amen",Dierks Bentley,53,12,Dierks Bentley
2018-04-07,For The First Time,Darius Rucker,58,10,Darius Rucker
2018-04-07,Up Down,Morgan Wallen Featuring Florida Georgia Line,49,20,Morgan Wallen;Florida Georgia Line
