song,artist,year,month,n_weeks,rank_w_mean,dolly_parton,date_short
Who's That Girl,Madonna,1987,10,4,67.75,0,1987-10-01
Who's Zoomin' Who,Aretha Franklin,1985,9,1,51.0,0,1985-09-01
Who's Zoomin' Who,Aretha Franklin,1985,10,4,32.25,0,1985-10-01
Who's Zoomin' Who,Aretha Franklin,1985,11,5,12.8,0,1985-11-01
Who's Zoomin' Who,Aretha Franklin,1985,12,4,17.75,0,1985-12-01
Who's Zoomin' Who,Aretha Franklin,1986,1,4,51.75,0,1986-01-01
Who's Zoomin' Who,Aretha Franklin,1986,2,1,83.0,0,1986-02-01
Wholy Holy,Aretha Franklin With James Cleveland & The Southern California Community Choir,1972,8,2,82.5,0,1972-08-01
Wholy Holy,Aretha Franklin With James Cleveland & The Southern California Community Choir,1972,9,2,81.5,0,1972-09-01
Wild In The Country,Elvis Presley With The Jordanaires,1961,6,4,43.5,0,1961-06-01
Wild In The Country,Elvis Presley With The Jordanaires,1961,7,1,54.0,0,1961-07-01
Wildest Dreams,Taylor Swift,2014,11,1,76.0,0,2014-11-01
Wildest Dreams,Taylor Swift,2015,9,2,13.5,0,2015-09-01
Wildest Dreams,Taylor Swift,2015,10,5,9.2,0,2015-10-01
Wildest Dreams,Taylor Swift,2015,11,4,7.0,0,2015-11-01
Wildest Dreams,Taylor Swift,2015,12,4,13.5,0,2015-12-01
Wildest Dreams,Taylor Swift,2016,1,5,22.4,0,2016-01-01
Wildest Dreams,Taylor Swift,2016,2,4,35.25,0,2016-02-01
Wildest Dreams,Taylor Swift,2016,3,2,46.0,0,2016-03-01
Wildest Dreams (Taylor's Version),Taylor Swift,2021,10,1,37.0,0,2021-10-01
Willing To Forgive,Aretha Franklin,1994,5,3,79.66666666666667,0,1994-05-01
Willing To Forgive,Aretha Franklin,1994,6,4,53.75,0,1994-06-01
Willing To Forgive,Aretha Franklin,1994,7,5,30.4,0,1994-07-01
Willing To Forgive,Aretha Franklin,1994,8,4,40.0,0,1994-08-01
Willing To Forgive,Aretha Franklin,1994,9,4,71.75,0,1994-09-01
Willow,Taylor Swift,2020,12,1,1.0,0,2020-12-01
Willow,Taylor Swift,2021,1,5,28.0,0,2021-01-01
Willow,Taylor Swift,2021,2,4,27.75,0,2021-02-01
Willow,Taylor Swift,2021,3,4,35.5,0,2021-03-01
Willow,Taylor Swift,2021,4,4,57.75,0,2021-04-01
Willow,Taylor Swift,2021,5,2,60.5,0,2021-05-01
Witchcraft,Elvis Presley With The Jordanaires,1963,10,2,64.5,0,1963-10-01
Witchcraft,Elvis Presley With The Jordanaires,1963,11,5,39.0,0,1963-11-01
Without Love,Aretha Franklin,1974,11,3,65.66666666666667,0,1974-11-01
Without Love,Aretha Franklin,1974,12,4,47.25,0,1974-12-01
Without Love,Aretha Franklin,1975,1,1,53.0,0,1975-01-01
Won't Be Long,Aretha Franklin With The Ray Bryant Combo,1961,2,1,95.0,0,1961-02-01
Won't Be Long,Aretha Franklin With The Ray Bryant Combo,1961,3,2,79.5,0,1961-03-01
Wonderland,Taylor Swift,2015,3,1,51.0,0,2015-03-01
You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris,2021,4,2,61.5,0,2021-04-01
You Are In Love,Taylor Swift,2015,3,1,83.0,0,2015-03-01
You Belong With Me,Taylor Swift,2008,11,1,12.0,0,2008-11-01
You Belong With Me,Taylor Swift,2009,5,3,61.0,0,2009-05-01
You Belong With Me,Taylor Swift,2009,6,4,34.5,0,2009-06-01
You Belong With Me,Taylor Swift,2009,7,4,10.5,0,2009-07-01
You Belong With Me,Taylor Swift,2009,8,5,3.2,0,2009-08-01
You Belong With Me,Taylor Swift,2009,9,4,5.25,0,2009-09-01
You Belong With Me,Taylor Swift,2009,10,5,7.0,0,2009-10-01
You Belong With Me,Taylor Swift,2009,11,4,13.0,0,2009-11-01
You Belong With Me,Taylor Swift,2009,12,4,18.25,0,2009-12-01
You Belong With Me,Taylor Swift,2010,1,5,19.2,0,2010-01-01
You Belong With Me,Taylor Swift,2010,2,4,27.25,0,2010-02-01
You Belong With Me,Taylor Swift,2010,3,4,35.75,0,2010-03-01
You Belong With Me,Taylor Swift,2010,4,3,46.666666666666664,0,2010-04-01
You Belong With Me (Taylor's Version),Taylor Swift,2021,4,1,75.0,0,2021-04-01
You Don't Have To Say You Love Me/Patch It Up,Elvis Presley,1970,10,2,61.5,0,1970-10-01
You Don't Have To Say You Love Me/Patch It Up,Elvis Presley,1970,11,4,22.75,0,1970-11-01
You Don't Have To Say You Love Me/Patch It Up,Elvis Presley,1970,12,4,20.25,0,1970-12-01
You Don't Know Me,Elvis Presley With The Jordanaires,1967,10,3,69.0,0,1967-10-01
You Don't Know Me,Elvis Presley With The Jordanaires,1967,11,3,44.666666666666664,0,1967-11-01
"You Must Love Me (From ""Evita"")",Madonna,1996,11,3,19.333333333333332,0,1996-11-01
"You Must Love Me (From ""Evita"")",Madonna,1996,12,4,25.75,0,1996-12-01
"You Must Love Me (From ""Evita"")",Madonna,1997,1,4,25.5,0,1997-01-01
"You Must Love Me (From ""Evita"")",Madonna,1997,2,4,37.5,0,1997-02-01
"You Must Love Me (From ""Evita"")",Madonna,1997,3,5,66.8,0,1997-03-01
You Need To Calm Down,Taylor Swift,2019,6,1,2.0,0,2019-06-01
You Need To Calm Down,Taylor Swift,2019,7,4,14.25,0,2019-07-01
You Need To Calm Down,Taylor Swift,2019,8,5,16.2,0,2019-08-01
You Need To Calm Down,Taylor Swift,2019,9,4,15.25,0,2019-09-01
You Need To Calm Down,Taylor Swift,2019,10,4,27.75,0,2019-10-01
You Need To Calm Down,Taylor Swift,2019,11,3,45.0,0,2019-11-01
You Send Me,Aretha Franklin,1968,6,3,68.33333333333333,0,1968-06-01
You Send Me,Aretha Franklin,1968,7,3,61.333333333333336,0,1968-07-01
You'll Never Walk Alone,Elvis Presley With The Jordanaires,1968,4,2,90.0,0,1968-04-01
You'll See,Madonna,1995,12,4,8.5,0,1995-12-01
You'll See,Madonna,1996,1,4,10.25,0,1996-01-01
You'll See,Madonna,1996,2,4,17.75,0,1996-02-01
You'll See,Madonna,1996,3,5,45.4,0,1996-03-01
You'll See,Madonna,1996,4,3,68.33333333333333,0,1996-04-01
You're All I Need To Get By,Aretha Franklin,1971,2,2,68.5,0,1971-02-01
You're All I Need To Get By,Aretha Franklin,1971,3,4,29.0,0,1971-03-01
You're All I Need To Get By,Aretha Franklin,1971,4,3,26.333333333333332,0,1971-04-01
You're Not Sorry,Taylor Swift,2008,11,2,23.0,0,2008-11-01
You're Not Sorry,Taylor Swift,2009,3,2,53.5,0,2009-03-01
You're Not Sorry,Taylor Swift,2009,4,1,95.0,0,2009-04-01
You're The Only One,Dolly Parton,1979,6,1,82.0,1,1979-06-01
You're The Only One,Dolly Parton,1979,7,4,65.75,1,1979-07-01
You're The Only One,Dolly Parton,1979,8,1,100.0,1,1979-08-01
"Your Time Hasn't Come Yet, Baby",Elvis Presley With The Jordanaires,1968,6,2,88.5,0,1968-06-01
"Your Time Hasn't Come Yet, Baby",Elvis Presley With The Jordanaires,1968,7,4,74.5,0,1968-07-01
"Your Time Hasn't Come Yet, Baby",Elvis Presley With The Jordanaires,1968,8,1,72.0,0,1968-08-01
