song,artist,year,month,n_weeks,rank_w_mean,dolly_parton,date_short
Express Yourself,Madonna,1989,9,3,84.33333333333333,0,1989-09-01
Eyes Open,Taylor Swift,2012,4,4,24.25,0,2012-04-01
Eyes Open,Taylor Swift,2012,5,4,25.0,0,2012-05-01
Eyes Open,Taylor Swift,2012,6,5,72.0,0,2012-06-01
False God,Taylor Swift,2019,9,1,77.0,0,2019-09-01
Fame And Fortune,Elvis Presley With The Jordanaires,1960,4,3,45.0,0,1960-04-01
Fame And Fortune,Elvis Presley With The Jordanaires,1960,5,5,20.0,0,1960-05-01
Fame And Fortune,Elvis Presley With The Jordanaires,1960,6,2,46.0,0,1960-06-01
Fearless,Taylor Swift,2008,11,4,56.0,0,2008-11-01
Fearless,Taylor Swift,2009,5,1,95.0,0,2009-05-01
Fearless,Taylor Swift,2010,2,2,98.0,0,2010-02-01
Fearless,Taylor Swift,2010,3,3,86.0,0,2010-03-01
Fearless,Taylor Swift,2010,4,4,76.75,0,2010-04-01
Fearless,Taylor Swift,2010,5,1,84.0,0,2010-05-01
Fearless (Taylor's Version),Taylor Swift,2021,4,1,71.0,0,2021-04-01
Fifteen,Taylor Swift,2008,11,1,79.0,0,2008-11-01
Fifteen,Taylor Swift,2009,2,1,65.0,0,2009-02-01
Fifteen,Taylor Swift,2009,10,5,81.6,0,2009-10-01
Fifteen,Taylor Swift,2009,11,4,43.0,0,2009-11-01
Fifteen,Taylor Swift,2009,12,4,25.75,0,2009-12-01
Fifteen,Taylor Swift,2010,1,5,31.2,0,2010-01-01
Fifteen,Taylor Swift,2010,2,1,40.0,0,2010-02-01
Fifteen (Taylor's Version),Taylor Swift,2021,4,1,88.0,0,2021-04-01
Flaming Star,Elvis Presley With The Jordanaires,1961,4,2,59.5,0,1961-04-01
Flaming Star,Elvis Presley With The Jordanaires,1961,5,5,24.6,0,1961-05-01
Follow That Dream,Elvis Presley,1962,5,3,42.0,0,1962-05-01
Follow That Dream,Elvis Presley,1962,6,5,20.4,0,1962-06-01
Follow That Dream,Elvis Presley,1962,7,2,60.0,0,1962-07-01
Forever & Always,Taylor Swift,2008,11,1,49.0,0,2008-11-01
Forever & Always,Taylor Swift,2009,11,2,67.0,0,2009-11-01
Forever & Always (Taylor's Version),Taylor Swift,2021,4,1,65.0,0,2021-04-01
Frankie And Johnny,Elvis Presley,1966,3,2,67.0,0,1966-03-01
Frankie And Johnny,Elvis Presley,1966,4,5,34.0,0,1966-04-01
Frankie And Johnny,Elvis Presley,1966,5,1,28.0,0,1966-05-01
Freeway Of Love,Aretha Franklin,1985,6,2,48.5,0,1985-06-01
Freeway Of Love,Aretha Franklin,1985,7,4,26.75,0,1985-07-01
Freeway Of Love,Aretha Franklin,1985,8,5,6.6,0,1985-08-01
Freeway Of Love,Aretha Franklin,1985,9,4,12.5,0,1985-09-01
Freeway Of Love,Aretha Franklin,1985,10,4,67.75,0,1985-10-01
Frozen,Madonna,1998,3,2,6.5,0,1998-03-01
Frozen,Madonna,1998,4,4,3.25,0,1998-04-01
Frozen,Madonna,1998,5,5,10.8,0,1998-05-01
Frozen,Madonna,1998,6,4,24.0,0,1998-06-01
Frozen,Madonna,1998,7,4,50.0,0,1998-07-01
Frozen,Madonna,1998,8,1,56.0,0,1998-08-01
Gentle On My Mind,Aretha Franklin,1969,5,3,76.33333333333333,0,1969-05-01
Get It Right,Aretha Franklin,1983,7,1,89.0,0,1983-07-01
Get It Right,Aretha Franklin,1983,8,4,67.5,0,1983-08-01
Get It Right,Aretha Franklin,1983,9,3,78.66666666666667,0,1983-09-01
Give It 2 Me,Madonna,2008,5,1,57.0,0,2008-05-01
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,2012,2,2,11.5,0,2012-02-01
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,2012,3,3,61.0,0,2012-03-01
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,2012,4,1,87.0,0,2012-04-01
Gold Rush,Taylor Swift,2020,12,1,40.0,0,2020-12-01
Good Luck Charm,Elvis Presley With The Jordanaires,1962,3,3,24.666666666666668,0,1962-03-01
Good Luck Charm,Elvis Presley With The Jordanaires,1962,4,4,1.75,0,1962-04-01
Good Luck Charm,Elvis Presley With The Jordanaires,1962,5,4,9.5,0,1962-05-01
Good Luck Charm,Elvis Presley With The Jordanaires,1962,6,2,34.5,0,1962-06-01
Gorgeous,Taylor Swift,2017,11,3,55.666666666666664,0,2017-11-01
Gorgeous,Taylor Swift,2017,12,1,89.0,0,2017-12-01
Guitar Man,Elvis Presley,1968,1,1,83.0,0,1968-01-01
Guitar Man,Elvis Presley,1968,2,4,51.0,0,1968-02-01
Guitar Man,Elvis Presley,1968,3,1,43.0,0,1968-03-01
